id,cluster,category,asin,affiliate_url,status,added_date,landing_page,pinterest_pin,clicks,orders,revenue_usd,notes
KITCHEN-001,Small Kitchen,Shelf riser,B0EEYAXCJ,https://link.amazon/B0eEYAXCJ,selected,2026-09-22,small-kitchen-organizers.html,,0,0,0,
KITCHEN-002,Small Kitchen,Under-shelf basket,B0IYBTIXA,https://link.amazon/B0iYBTixa,selected,2026-09-22,small-kitchen-organizers.html,,0,0,0,
KITCHEN-003,Small Kitchen,Magnetic spice storage,B0DXXNSA7,https://link.amazon/B0dXXnSa7,selected,2026-09-22,small-kitchen-organizers.html,,0,0,0,
KITCHEN-004,Small Kitchen,Slim rolling cart,B04NVW4BO,https://link.amazon/B04NVW4Bo,selected,2026-09-22,small-kitchen-organizers.html,,0,0,0,
KITCHEN-005,Small Kitchen,Drawer organizer,B0JLZJKBM,https://link.amazon/B0jlzJKBm,selected,2026-09-22,small-kitchen-organizers.html,,0,0,0,
KITCHEN-006,Small Kitchen,Stackable storage bins,B05Y2XKRJ,https://link.amazon/B05y2XkrJ,selected,2026-09-22,small-kitchen-organizers.html,,0,0,0,
KITCHEN-007,Small Kitchen,Wall rail hooks,B0BBMGOTF,https://link.amazon/B0bbMGotF,selected,2026-09-22,small-kitchen-organizers.html,,0,0,0,
PIN-016,Small Kitchen,Pinterest traffic test,,,planned,2026-09-22,small-kitchen-organizers.html,PIN-016,0,0,0,Discovery: small kitchen storage ideas
PIN-017,Small Kitchen,Pinterest traffic test,,,planned,2026-09-22,small-kitchen-organizers.html,PIN-017,0,0,0,Problem: tiny kitchen no more cabinets
PIN-018,Small Kitchen,Pinterest traffic test,,,planned,2026-09-22,small-kitchen-organizers.html,PIN-018,0,0,0,Commercial: smart organizers for small kitchens
